31,"笑笑 八重洲中央口駅前店",35.6797605249,139.7698684830,"東京都中央区八重洲２－１－４　東京駅前八重洲ビル８Ｆ","月～木、日、祝日: 17:00～翌2:00 （料理L.O. 翌1:30 ドリンクL.O. 翌1:30）金、土、祝前日: 17:00～翌3:00 （料理L.O. 翌2:30 ドリンクL.O. 翌2:30）","2001～3000円","https://www.hotpepper.jp/strJ000010116/?vos=nhppalsa000016","03-3272-0188","https://imgfp.hotp.jp/IMGH/31/82/P027093182/P027093182_238.jpg",NULL,"2017-05-12 06:48:53","2017-05-12 06:53:42"
32,"銀座焼肉 うっしっし",35.6757109312,139.7680160253,"東京都中央区京橋３‐３‐１４京橋ＡＫビルB１Ｆ","月～金、祝前日: 18:00～翌3:00 （料理L.O. 翌3:00 ドリンクL.O. 翌3:00）土: 17:00～23:00 （料理L.O. 23:00 ドリンクL.O. 23:00）","4001～5000円","https://www.hotpepper.jp/strJ000748437/?vos=nhppalsa000016","03-3245-4129","https://imgfp.hotp.jp/IMGH/54/11/P020685411/P020685411_238.jpg",NULL,"2017-05-12 06:48:53","2017-05-12 06:53:42"
33,"太樹苑 銀座一丁目店",35.6756387199,139.7681187972,"東京都中央区京橋３‐3‐13","月～日、祝日、祝前日: 17:00～翌0:00","3001～4000円","https://www.hotpepper.jp/strJ000963711/?vos=nhppalsa000016","03-3272-8929","https://imgfp.hotp.jp/IMGH/59/96/P021515996/P021515996_238.jpg",NULL,"2017-05-12 06:48:53","2017-05-12 06:53:42"
34,"ジョイサウンド JOYSOUND 京橋店",35.6756498253,139.7679521442,"東京都中央区京橋３-3-14","月～木: 13:00～翌4:30 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）金、祝前日: 13:00～翌5:30 （料理L.O. 翌5:30 ドリンクL.O. 翌5:30）土: 11:00～翌5:30 （料理L.O. 翌5:30 ドリンクL.O. 翌5:30）日、祝日: 11:00～翌4:30 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）","2001～3000円","https://www.hotpepper.jp/strJ000746907/?vos=nhppalsa000016","050-5815-5844","https://imgfp.hotp.jp/IMGH/20/06/P025712006/P025712006_238.jpg",NULL,"2017-05-12 06:48:53","2017-05-12 06:53:42"
35,"油そば専門店 ぶらぶら 京橋店",35.6755476215,139.7682129595,"東京都中央区京橋３-3-12 山京ビル１F","月～金、祝前日: 11:00～翌0:00土: 11:00～22:00日、祝日: 11:00～21:00","～2000円","https://www.hotpepper.jp/strJ001125796/?vos=nhppalsa000016","050-5828-1610","https://imgfp.hotp.jp/IMGH/76/18/P022557618/P022557618_238.jpg",NULL,"2017-05-12 06:48:53","2017-05-12 06:53:43"
36,"旬薫のさかなと野菜 金の独楽",35.6753582032,139.7683910076,"東京都中央区京橋３－４－４ イーストサイドビルＢ1～4階","月～木: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）金、祝前日: 17:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:00）土: 16:00～23:30","5001～7000円","https://www.hotpepper.jp/strJ000678610/?vos=nhppalsa000016","050-5815-3059","https://imgfp.hotp.jp/IMGH/71/46/P019647146/P019647146_238.jpg",NULL,"2017-05-12 06:48:53","2017-05-12 06:53:43"
37,"炭火てしごと BAR 銀ゼロ",35.6753582032,139.7683910076,"東京都中央区京橋３－４－４　イーストサイドビル１階","月～木: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）金、祝前日: 17:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:00）土: 16:00～23:30","2001～3000円","https://www.hotpepper.jp/strJ000678611/?vos=nhppalsa000016","050-5815-3416","https://imgfp.hotp.jp/IMGH/80/40/P024788040/P024788040_238.jpg",NULL,"2017-05-12 06:48:53","2017-05-12 06:53:43"
38,"Bar Terra バル テッラ",35.6753554250,139.7683632323,"東京都中央区京橋３‐４‐４","月～金、祝前日: 18:00～翌0:00土: 16:00～23:00","3001～4000円","https://www.hotpepper.jp/strJ000802368/?vos=nhppalsa000016","050-5280-3673","https://imgfp.hotp.jp/IMGH/94/20/P012949420/P012949420_238.jpg",NULL,"2017-05-12 06:48:53","2017-05-12 06:53:43"
39,"東京GURAS 京橋店",35.6756303684,139.7674077468,"東京都中央区八重洲２-１１-７ます美ビルＢ１Ｆ","月～日、祝日、祝前日: 11:30～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）","～2000円","https://www.hotpepper.jp/strJ001102107/?vos=nhppalsa000016","050-5281-0251","https://imgfp.hotp.jp/IMGH/08/39/P025960839/P025960839_238.jpg",NULL,"2017-05-12 06:48:54","2017-05-12 06:53:43"
40,"権八 G-Zone銀座店",35.6751443400,139.7684521221,"東京都中央区銀座１-2-3　G-ZONE銀座","月～日、祝日、祝前日: 11:30～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）","3001～4000円","https://www.hotpepper.jp/strJ000243093/?vos=nhppalsa000016","050-5827-9207","https://imgfp.hotp.jp/IMGH/20/83/P020062083/P020062083_238.jpg",NULL,"2017-05-12 06:48:54","2017-05-12 06:53:44"
